,sytoxG_t0,sytoxG_t2,sytoxG_t4,sytoxG_t6,sytoxG_t8,sytoxG_t10,sytoxG_t12,sytoxG_t14,sytoxG_t16,sytoxG_t18,sytoxG_t20,sytoxG_t22,sytoxG_t24,sytoxG_t26,sytoxG_t28,sytoxG_t30,sytoxG_t32,sytoxG_t34,sytoxG_t36,sytoxG_t38,sytoxG_t40,sytoxG_t42,sytoxG_t44,sytoxG_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
SU11274,96.06824,110.9194,149.4395,201.8825,256.182,304.4482,315.5865,339.2555,361.0681,374.5269,385.2011,420.9367,455.2799,504.9384,553.6686,611.2167,670.1572,721.2079,755.5511,780.6124,806.6019,820.989,860.9014,859.5091,488.172843333333,96.06824,860.9014,22476.71914,44,0,764.83316,763.44086,29.47025,31,-0.696149999999989,45
Streptozotocin..STZ.,61.26091,59.40451,58.94042,51.51485,65.43778,89.57087,126.2346,144.3344,147.119,150.3677,176.3571,197.7056,224.6233,252.0051,280.7791,297.0226,298.4149,294.238,287.7406,280.7791,270.1049,263.1434,263.6075,261.287,191.749718333333,51.51485,298.4149,8881.43857,32,6,246.90005,200.02609,18.331865,11,-5.33710000000002,39
KU.55933..ATM.Kinase.Inhibitor.,62.6532,65.90189,70.54286,70.54286,77.50433,103.9579,129.4833,135.5166,131.8038,140.6216,159.6496,202.3466,239.9386,254.7897,264.9998,286.8124,276.6023,270.569,228.3361,202.8107,171.2521,159.6496,154.0805,132.2679,166.359718333333,62.6532,286.8124,7790.34538,30,0,224.1592,69.6147,21.3485,21,-21.11645,35
Etomidate,49.19436,53.37124,58.47632,55.22763,65.43778,98.85282,122.0577,139.6934,141.5498,139.2293,155.0087,182.3904,217.6618,246.9,266.8562,281.2433,286.3483,292.3816,294.7021,301.1995,291.9175,288.2047,289.597,274.2818,191.324302083333,49.19436,301.1995,8860.09034,38,0,252.00514,225.08744,17.6357,23,-7.6576,45
Vatalanib..PTK787..2HCl,76.11204,81.68121,77.50433,69.15057,80.75301,123.45,164.7547,180.534,192.6006,187.4955,200.4902,230.6566,255.7179,276.6023,297.9508,324.4043,314.6583,297.4867,290.9893,274.7459,269.1767,262.6794,250.6128,258.5025,209.946235833333,69.15057,324.4043,9742.80478,30,6,255.25373,182.39046,21.348495,9,-8.58580000000001,33
Genistein,65.43778,69.61466,69.61466,67.75828,75.18384,116.0244,145.2626,164.7547,179.6058,182.8545,193.0647,228.8002,266.8562,280.7791,281.2433,270.1049,285.4201,277.9946,284.4919,279.3869,270.569,280.3151,271.4972,270.1049,203.197471666667,65.43778,285.4201,9417.93596,32,0,219.98232,204.66712,20.42028,9,-5.5692,29
BI.2536,77.96842,79.82481,84.92989,79.36072,87.71448,121.5936,151.76,167.5393,190.2801,215.8055,271.4972,315.1224,378.2397,440.8929,495.1923,556.4532,626.9961,700.3235,777.8279,847.9066,914.2726,958.826,978.3181,997.3461,438.166309166667,77.96842,997.3461,19956.66832,46,0,919.37768,919.37768,38.7522,35,-2.784585,5
Levetiracetam,71.47105,70.07877,70.54286,70.07877,79.82481,99.31693,117.8808,116.9526,124.3782,133.6602,153.6164,193.5288,244.5795,278.4586,287.2765,276.1382,264.0716,260.3589,257.1102,254.7897,233.9053,232.513,224.1592,218.1259,180.534032916667,70.07877,287.2765,8376.03663,28,2,217.19773,146.65485,25.52535,23,-10.4422,39
Empty.1.4,59.40451,64.04549,59.86861,59.40451,72.39925,88.64268,109.5271,128.5551,135.9807,141.5498,156.401,193.9929,230.1925,258.0384,278.4586,301.6635,284.956,288.2047,297.0226,283.5638,268.2485,259.4307,259.4307,253.8615,188.868464583333,59.40451,301.6635,8752.42029000001,30,0,242.25899,194.45699,18.79595,21,-8.35374999999999,31
Empty.1.5,75.64793,79.82481,77.96842,79.36072,85.39399,101.6374,126.2346,143.4062,154.0805,179.1417,202.8107,243.1872,300.7354,336.935,347.1451,364.3167,377.3115,375.9192,387.9857,382.4166,385.2011,392.1626,394.9472,392.1626,249.413869583333,75.64793,394.9472,11504.05521,44,0,319.29927,316.51467,28.7741,23,-2.78455,37
Triciribine,54.76354,59.86861,62.1891,65.43778,100.2451,158.2573,235.2976,286.3483,333.6863,378.2397,402.8369,427.8981,445.0698,454.8158,445.0698,474.772,483.1258,530.4637,565.7352,606.5758,645.56,661.8034,679.9033,657.1624,383.963555416667,54.76354,679.9033,17718.32472,44,0,625.13976,602.39886,38.52015,11,-11.3704499999999,45
Epothilone.B..EPO906..Patupilone.,75.64793,75.18384,72.39925,75.64793,85.85809,131.8038,164.7547,177.2854,173.5726,171.2521,192.6006,230.1925,279.851,325.3326,369.4218,401.9087,426.0417,447.3903,438.1083,424.1854,417.2239,401.9087,393.0908,386.1293,264.032968333333,72.39925,447.3903,12211.80525,34,4,374.99105,310.48137,24.82925,23,-7.6576,41
YM155..Sepantronium.Bromide.,76.11204,76.11204,78.89662,82.60941,87.25038,96.53233,123.45,145.7267,184.7109,236.2258,286.8124,351.322,414.9034,471.0592,532.3201,614.4655,674.7982,730.954,774.1151,820.5248,854.404,900.8138,937.9416,956.5055,437.856909166667,76.11204,956.5055,19984.5141,46,0,880.39346,880.39346,41.0727,29,0,1
Drospirenone,62.6532,67.29417,73.79154,71.47105,79.82481,119.7372,153.1523,166.6111,156.8651,171.2521,176.8212,195.8493,218.59,232.513,250.1487,275.21,285.4201,285.8842,294.238,283.5638,282.6355,283.0996,296.5585,280.3151,198.47914875,62.6532,296.5585,9184.03083999999,44,0,233.9053,217.6619,19.956195,9,-8.1217,45
X17.AAG..Tanespimycin.,51.05075,56.61993,58.47632,63.58139,61.725,77.04023,98.38873,111.3835,128.091,143.4062,151.76,162.4342,179.1417,188.8878,210.2363,240.8667,270.1049,314.1942,368.9577,427.8981,493.8,560.6301,629.3166,681.2955,238.720285416667,51.05075,681.2955,10726.22745,46,0,630.24475,630.24475,34.34325,43,-0.928194999999999,7
Nafamostat.Mesylate,74.71974,70.07877,72.39925,77.50433,94.67594,129.4833,162.8983,189.3519,212.0927,233.9053,277.0664,337.8632,403.765,446.9261,491.9436,540.6739,551.3481,542.9944,523.0382,500.2974,465.4901,435.7878,398.66,358.2835,316.301967916667,70.07877,551.3481,14749.49122,32,2,481.26933,283.56376,32.9509,23,-20.18825,45
PLX.4720,51.51485,49.65846,54.29944,51.51485,42.2329,57.54812,74.25565,90.96317,90.96317,108.5989,113.704,140.1575,164.2906,192.6006,222.3028,251.541,264.0716,261.287,284.4919,271.9613,260.3589,246.9,236.2258,210.2363,157.986617083333,42.2329,284.4919,7321.60647000001,36,8,242.259,158.72145,14.8511,27,-12.99475,45
Resveratrol,70.07877,75.18384,65.90189,52.44305,57.54812,79.36072,97.92463,99.78102,106.2784,109.9912,134.5883,187.0314,231.1207,247.8282,271.9613,285.4201,301.6635,309.5532,295.1662,276.6023,256.6461,245.9718,232.0489,222.7669,179.7025225,52.44305,309.5532,8332.87540999999,34,6,257.11015,152.68813,26.22155,21,-9.97810000000001,39
PA.824,46.40978,47.33797,45.48158,45.94568,56.15583,93.74775,120.2013,144.3344,165.2188,167.5393,173.5726,205.1312,237.154,253.8615,271.4972,290.5252,295.1662,289.1329,280.3151,274.2818,262.6794,246.9,239.4744,239.4744,187.14742875,45.48158,295.1662,8697.1924,32,4,249.68462,193.06462,18.79596,9,-7.88969999999999,41
Bimatoprost,73.79154,70.07877,69.15057,53.37124,48.26617,57.54812,67.75828,84.92989,89.57087,105.3502,118.3449,146.6549,166.147,186.1032,200.0261,215.8055,205.5953,207.9158,201.8825,194.457,191.2083,192.6006,199.562,202.3466,139.519389583333,48.26617,215.8055,6420.79256,30,8,167.53933,128.55506,14.155,21,-7.889665,5
WZ3146,49.19436,58.94042,60.33271,73.32745,115.5603,188.4237,275.6741,360.604,458.0645,570.3762,675.2623,752.3025,821.9172,857.6526,880.3935,891.0677,892.9241,891.9959,894.7805,894.3164,894.7805,889.6754,893.3882,889.6754,592.942914166667,49.19436,894.7805,27522.39012,36,0,845.58614,840.48104,56.15585,17,-2.55255,41
Rolipram,49.19436,46.40978,48.73027,39.91241,35.27143,44.08929,59.86861,72.86335,84.00169,102.5656,112.3117,129.4833,148.0472,171.7162,179.6058,186.1032,180.9981,172.6444,169.3957,168.9316,175.429,166.147,158.7214,167.0752,119.56319125,35.27143,186.1032,5522.76362,30,8,150.83177,117.88084,11.8345,25,-4.64100000000001,41
WZ8040,75.18384,80.75301,85.85809,100.2451,182.8545,279.851,372.6705,424.1854,481.7335,520.2536,595.9016,685.9365,761.1204,820.5248,871.5756,895.2446,917.5213,935.157,930.0519,932.3724,931.4442,931.9083,937.0134,932.3724,611.7388725,75.18384,937.0134,28355.90964,44,0,861.82956,857.18856,48.49825,9,-2.55255,35
Venlafaxine,77.04023,73.79154,65.43778,55.22763,60.33271,80.28892,108.5989,116.9526,122.9859,141.5498,155.9368,181.9263,206.5235,230.1925,248.7564,258.0384,249.6846,248.2923,243.1872,244.5795,235.7617,220.4464,218.1259,221.8387,169.395675416667,55.22763,258.0384,7832.11349,30,6,202.81077,144.79847,14.15499,11,-7.65764999999999,41
Bicalutamide,86.32218,79.82481,78.89662,72.39925,78.43253,105.3502,129.0192,125.7705,116.4885,115.5603,129.0192,157.3291,186.5673,221.3746,244.5795,235.2976,239.0103,254.7897,268.2485,251.541,247.3641,248.2923,237.154,224.6233,172.21894125,72.39925,268.2485,7955.5637,36,6,195.84925,138.30112,17.40365,25,-8.35374999999999,37
Ispinesib..SB.715992.,66.83008,65.90189,62.6532,57.08403,68.22237,83.0735,93.74775,99.31693,110.9194,103.0297,128.5551,167.5393,206.0594,229.2643,252.9333,241.7949,251.541,237.6181,223.231,226.9438,243.6513,242.259,235.7617,240.8667,164.116572916667,57.08403,252.9333,7569.89872,28,6,195.84927,174.03662,19.4921,21,-7.19355,35
Irinotecan,88.17857,92.81956,82.60941,69.15057,75.18384,97.92463,120.2013,135.0524,133.1961,135.9807,136.9088,152.2241,183.7827,207.9158,209.7722,207.4517,229.2643,237.6181,249.6846,242.259,244.5795,241.3308,236.6899,226.4797,168.177428333333,69.15057,249.6846,7757.85829,36,6,180.53403,138.30113,15.7793,23,-6.72942,5
SP600125,92.81956,91.42726,112.3117,243.6513,401.9087,511.4357,565.7352,588.0119,621.4269,620.4987,622.8192,626.0679,627.9243,635.3499,639.9908,633.4935,637.2062,634.8857,631.173,622.3551,625.6038,622.8192,610.7527,615.8577,526.480246666667,91.42726,639.9908,24562.37458,28,2,548.56354,523.03814,79.1287,7,-6.03325000000001,43
Tivozanib..AV.951.,80.28892,74.25565,74.71974,62.6532,67.29417,81.21711,101.1733,101.6374,109.063,124.3782,139.2293,165.6829,199.562,235.2976,278.4586,285.8842,281.7073,275.6741,264.5357,250.6128,249.2205,228.3361,225.0874,221.3746,174.05599125,62.6532,285.8842,8053.02406,30,6,223.231,141.08568,21.5805,27,-10.4422,41
TSU.68..SU6668..Orantinib.,81.21711,79.82481,81.21711,78.43253,85.39399,114.6321,140.1575,137.837,136.4447,141.0857,162.4342,201.8825,251.0769,272.8895,302.1277,319.7634,336.0068,327.1889,323.0121,304.4482,285.8842,279.3869,256.182,252.9333,206.310797916667,78.43253,336.0068,9568.76789,32,6,257.57427,171.71619,24.5972,23,-11.60245,43
Carboplatin,44.55339,45.48158,47.33797,42.69699,59.40451,84.4658,112.3117,128.091,125.3064,133.6602,155.9368,198.6339,231.5848,249.2205,256.182,251.0769,255.7179,263.1434,288.2047,254.3256,224.1592,206.9876,198.6339,191.6724,168.6995475,42.69699,288.2047,7861.35249,36,6,245.50771,147.11901,21.34855,21,-16.93955,37
Daclatasvir..BMS.790052.,57.08403,59.86861,67.75828,62.1891,70.54286,95.60414,128.091,150.3677,149.4395,148.9754,160.1137,189.3519,219.0542,234.3694,238.0822,252.4692,264.0716,283.5638,271.9613,245.0436,224.1592,220.4464,212.5568,206.5235,175.486975833333,57.08403,283.5638,8159.76731,34,0,226.47977,149.43947,16.24343,11,-13.45885,37
Empty.1.6,54.76354,62.1891,70.54286,76.11204,77.04023,99.31693,103.4938,123.9141,142.9421,154.5446,172.1803,210.7004,242.259,274.2818,275.21,280.3151,290.5252,284.956,280.7791,276.6023,264.9998,259.8947,264.5357,259.4307,191.730391666667,54.76354,290.5252,8888.86455999999,32,0,235.76166,204.66716,19.26005,21,-5.80125000000001,39
Empty.1.7,71.93516,74.71974,79.36072,76.57613,80.75301,84.92989,110.9194,127.1628,136.9088,145.7267,166.147,218.59,250.6128,260.8229,268.7126,283.5638,283.0996,295.6303,304.9122,281.7073,280.7791,276.6023,274.2818,281.2433,196.487389583333,71.93516,304.9122,9078.21624,36,0,232.97704,209.30814,26.2215,21,-11.60245,37
FG.4592,56.15583,62.1891,65.90189,54.29944,54.76354,61.725,84.92989,100.2451,109.9912,132.2679,160.1137,197.2415,248.2923,274.7459,296.0944,299.343,303.984,286.3483,270.569,269.6408,246.9,243.6513,237.6181,222.7669,180.824087083333,54.29944,303.984,8400.63345,32,6,249.68456,166.61107,25.5254,23,-11.3704,39
Oxaliplatin,82.60941,85.85809,85.85809,85.39399,79.36072,97.46053,104.422,105.8143,116.0244,139.6934,150.3677,170.788,200.0261,234.8335,258.9666,303.5199,327.653,360.1399,380.0961,390.7703,404.2292,425.5777,445.5338,450.6389,228.56815125,79.36072,450.6389,10438.02295,46,8,371.27818,368.02949,22.27665,29,-3.016635,7
Dovitinib..TKI.258..CHIR.258.,63.58139,66.83008,72.86335,76.11204,93.74775,119.2731,136.4447,150.3677,167.0752,170.788,176.8212,197.2415,201.4184,211.1645,236.6899,260.8229,298.4149,338.7914,347.1451,343.8965,329.5094,314.1942,284.4919,271.9613,205.40193375,63.58139,347.1451,9523.75013,36,0,283.56371,208.37991,20.18825,33,-14.85115,43
AG.1024.,62.1891,67.75828,71.47105,65.90189,66.83008,65.43778,83.5376,107.6707,122.0577,130.4115,137.837,163.8265,174.9649,189.3519,203.2748,232.513,237.154,275.6741,276.1382,268.2485,252.9333,243.6513,250.1487,236.6899,166.0696575,62.1891,276.1382,7672.46456,36,0,213.9491,174.5008,19.26005,33,-7.65759999999999,39
Lapatinib..GW.572016..Ditosylate,77.50433,78.89662,82.1453,78.43253,89.57087,129.0192,159.1855,201.8825,231.1207,245.5077,252.0051,264.9998,297.4867,345.2887,383.8089,435.7878,460.8491,478.9489,481.7335,487.3026,508.6512,509.5793,519.7895,513.2921,304.69951875,77.50433,519.7895,14034.78047,44,0,442.28517,435.78777,25.98945,29,-3.24869999999999,45
JNJ.7706621,61.26091,58.01222,54.29944,50.12256,60.79681,84.00169,105.3502,122.5218,122.5218,116.4885,113.2399,118.809,130.4115,146.1908,160.5778,173.1085,188.8878,205.1312,209.7722,237.154,252.9333,268.7126,272.8895,269.1767,149.265447083333,50.12256,272.8895,6834.30385,44,6,222.76694,207.91579,13.6909,37,-3.01665,17
Rapamycin..Sirolimus.,61.26091,65.90189,61.26091,56.61993,50.12256,54.29944,75.64793,90.03497,118.3449,124.3782,146.1908,177.7495,216.7337,241.3308,264.9998,276.6023,306.3045,317.907,321.1557,306.7686,302.1277,297.9508,291.9175,297.9508,188.481714166667,50.12256,321.1557,8687.91057,36,8,271.03314,236.68989,19.4921,23,-7.19355000000002,37
Ramelteon,51.51485,50.12256,45.94568,47.33797,74.25565,135.9807,172.6444,198.6339,207.4517,225.0874,228.8002,240.4026,269.1767,297.9508,317.907,340.6478,350.3938,346.681,344.3605,345.2887,325.7966,326.2607,306.3045,304.4482,231.391412916667,45.94568,350.3938,10750.82477,32,4,304.44812,252.93335,30.862525,9,-9.97809999999998,43
Vorinostat..SAHA..MK0683.,84.4658,77.04023,71.93516,61.725,85.39399,166.6111,243.1872,290.9893,307.6968,301.1995,310.0173,316.9788,321.6198,338.7914,358.7476,374.5269,399.1241,423.2572,455.2799,476.6284,503.5461,544.3867,566.1993,580.5863,319.163911666667,61.725,580.5863,14654.81566,46,6,518.8613,496.1205,40.608555,9,-5.10508,5
BX.795,44.08929,46.87387,39.91241,48.26617,99.31693,177.7495,266.3921,332.294,380.5602,430.2186,450.6389,445.5338,436.716,424.6494,426.5059,427.8981,438.5724,448.3185,466.4182,459.9209,454.3517,453.4235,451.103,445.5338,337.302382083333,39.91241,466.4182,15700.89125,36,4,426.50579,401.44451,44.3213,11,-6.0333,25
Olaparib..AZD2281..Ku.0059436.,89.57087,87.71448,92.35545,81.68121,85.85809,88.64268,98.38873,113.704,113.704,120.6654,136.9088,150.3677,170.788,177.2854,212.0927,243.6513,256.6461,265.928,277.0664,271.4972,265.928,271.4972,267.3203,247.3641,174.442754583333,81.68121,277.0664,8036.31725,36,6,195.38519,157.79323,17.40365,27,-9.97809999999998,45
Benazepril.HCl,49.19436,54.76354,50.58666,42.69699,47.33797,71.00696,96.99644,113.704,125.7705,129.4833,142.0139,158.7214,179.1417,216.7337,248.2923,264.5357,268.7126,267.3203,259.4307,248.2923,236.2258,228.8002,215.3414,207.4517,163.4397675,42.69699,268.7126,7588.46278,32,6,226.01561,158.25734,18.796,25,-6.7294,43
PHA.665752,136.4447,639.0626,981.1027,1141.681,1266.987,1348.668,1387.652,1429.885,1416.426,1450.77,1442.88,1418.747,1428.957,1371.873,1313.861,1227.074,1165.349,1101.304,1021.943,957.8978,915.2008,888.2831,866.4705,889.6754,1133.674775,136.4447,1450.77,53390.2691,18,0,1314.3253,753.2307,251.30895,1,-43.3935,29
Cilostazol,51.51485,58.47632,53.37124,40.8406,43.16109,68.68647,94.67594,103.0297,97.92463,101.6374,116.9526,151.76,204.203,230.1925,259.8947,280.3151,286.8124,292.8457,308.1609,307.2327,304.4482,300.7354,283.0996,270.1049,179.5864975,40.8406,308.1609,8298.53213,36,6,267.3203,218.59005,26.2215,23,-8.81790000000001,43
Vismodegib..GDC.0449.,58.47632,56.61993,53.37124,49.65846,51.05075,78.43253,110.4553,123.9141,132.2679,134.1243,145.2626,164.2906,200.0261,227.872,230.1925,243.6513,257.1102,254.3256,246.9,234.8335,218.1259,220.9105,206.5235,212.5568,162.956330416667,49.65846,257.1102,7550.87074000001,32,6,207.45174,154.08048,17.86775,23,-8.35379999999999,39
Zoledronic.Acid.,54.76354,54.76354,61.725,58.47632,67.29417,99.31693,129.4833,137.3729,149.9036,162.8983,184.7109,223.231,260.8229,295.1662,297.4867,298.879,310.9455,308.625,302.5917,291.4534,292.3816,278.9228,285.4201,273.3536,203.332833333333,54.76354,310.9455,9431.85885999999,32,0,256.18196,218.59006,19.26005,21,-6.7294,41
GSK1904529A,57.08403,64.04549,65.43778,58.47632,62.6532,77.96842,95.14005,107.2066,103.4938,116.4885,142.478,180.0699,212.0927,235.2976,225.0874,218.59,240.4026,249.6846,232.9771,221.8387,212.5568,206.5235,212.5568,209.7722,158.663420416667,57.08403,249.6846,7348.98795,34,0,192.60057,152.68817,18.79595,21,-8.35374999999999,35
Felbamate,90.96317,96.06824,88.17857,84.00169,130.8756,232.513,332.294,380.0961,404.2292,413.5111,424.6494,431.6109,446.9261,467.8105,496.1205,517.9331,536.0329,545.779,570.8403,570.3762,568.5198,567.5916,576.8735,563.8788,397.403052916667,84.00169,576.8735,18420.50457,44,6,492.87181,472.91563,50.8187,9,-6.49735000000004,45
U0126.EtOH,88.17857,84.00169,83.5376,83.5376,102.5656,149.9036,172.6444,180.534,173.5726,177.2854,185.175,205.1312,231.1207,277.5305,308.1609,336.0068,367.5654,383.8089,366.1731,378.7038,352.7143,342.5042,336.0068,333.2222,237.4827025,83.5376,383.8089,10977.76895,34,4,300.2713,245.04363,23.669,9,-12.99475,39
Ginkgolide.B,73.32745,75.64793,71.47105,70.07877,76.57613,98.85282,108.1348,112.3117,108.1348,116.0244,132.732,155.0087,194.457,223.6951,232.9771,241.3308,250.6128,255.2538,252.0051,245.9718,230.1925,229.2643,224.6233,221.8387,166.688452083333,70.07877,255.2538,7705.87955,34,6,185.17503,148.51125,19.72415,23,-7.88965,39
Varespladib..LY315920.,62.1891,68.68647,71.47105,68.68647,80.28892,122.5218,166.6111,183.3186,187.9596,181.9263,204.6671,228.8002,259.4307,280.7791,285.4201,290.5252,293.3098,305.8404,302.1277,307.2327,302.5917,281.7073,278.4586,271.9613,211.93797125,62.1891,307.2327,9838.87222,38,0,245.0436,209.7722,22.04465,11,-10.4422,41
Lidocaine,86.78629,81.68121,82.60941,80.75301,86.78629,105.8143,128.5551,129.4833,129.0192,141.5498,161.9701,187.9596,219.0542,254.7897,252.9333,264.5357,266.8562,270.569,259.4307,255.7179,248.2923,245.0436,242.259,233.4412,183.99543375,80.75301,270.569,8511.55333,34,6,189.81599,146.65491,17.86775,25,-5.56915000000001,35
Empty.1.8,71.47105,71.47105,70.07877,73.32745,89.57087,108.1348,130.8756,131.3397,134.1243,136.9088,165.2188,174.5008,213.0209,239.9386,258.0384,255.7179,264.9998,266.8562,263.6075,256.6461,238.0822,242.7231,249.2205,236.2258,180.92079125,70.07877,266.8562,8376.50113,34,4,196.77743,164.75475,19.26005,23,-9.28194999999999,39
Empty.1.9,82.60941,84.92989,85.85809,83.5376,83.0735,100.7092,122.5218,125.7705,130.8756,153.6164,186.1032,230.1925,274.2818,287.2765,303.984,320.6916,326.2607,338.3273,328.1171,342.9683,345.2887,342.9683,351.7861,349.0015,224.197899583333,82.60941,351.7861,10329.88827,44,0,269.17669,266.39209,22.04465,21,-5.10509999999999,35
XL147,58.47632,61.26091,50.58666,47.33797,43.16109,56.15583,63.1173,72.86335,79.82481,96.99644,125.3064,154.0805,179.6058,187.9596,204.6671,206.9876,197.2415,201.4184,191.2083,183.3186,172.6444,166.147,164.2906,160.5778,130.218095,43.16109,206.9876,6031.41444,30,8,163.82651,102.10148,14.38705,21,-5.337125,3
BMS.707035,49.19436,50.12256,57.54812,56.15583,57.54812,79.36072,93.74775,97.46053,109.063,124.3782,178.6776,226.0156,257.5742,289.1329,308.1609,321.6198,346.2169,349.0015,345.2887,337.3991,329.0453,319.2993,317.4429,300.2713,208.321882916667,49.19436,349.0015,9649.98471999999,34,0,299.80714,251.07694,27.1497,19,-8.58580000000001,45
INO.1001,58.47632,57.08403,53.83534,53.83534,54.29944,61.26091,77.50433,97.92463,96.53233,112.3117,148.0472,174.0367,212.0927,241.7949,268.7126,272.4254,269.1767,279.851,282.1714,262.6794,251.541,242.259,234.8335,225.5515,170.34322375,53.83534,282.1714,7892.44692,36,4,228.33606,167.07518,19.028,23,-9.74600000000001,37
Ruxolitinib..INCB018424.,78.89662,69.61466,74.25565,72.86335,75.18384,87.71448,111.3835,127.1628,125.7705,123.9141,148.5113,175.8931,224.6233,239.9386,234.8335,243.6513,245.9718,235.2976,213.9491,212.5568,210.2363,208.844,211.1645,220.9105,165.54755,69.61466,245.9718,7646.47528,32,2,176.35714,142.01388,24.3651,23,-10.67425,35
X17.DMAG..Alvespimycin..HCl,83.0735,78.89662,80.28892,81.68121,89.57087,111.8476,136.9088,157.3291,187.4955,203.7389,206.5235,206.5235,206.5235,220.4464,222.3028,225.5515,249.6846,262.6794,296.5585,327.653,364.7809,404.6933,447.8543,488.6949,222.554213333333,78.89662,488.6949,10110.83384,46,2,409.79828,405.6214,21.5805,43,-2.08844,1
Naftopidil.DiHCl,63.58139,66.83008,67.75828,62.1891,64.97369,78.89662,109.063,141.5498,140.1575,144.7985,163.3624,192.1365,239.4744,290.0611,309.0891,324.4043,334.1504,315.5865,316.0506,319.7634,299.8072,283.5638,273.3536,252.0051,202.191931666667,62.1891,334.1504,9389.62623000001,32,6,271.9613,188.42371,25.29335,25,-10.67425,45
Roscovitine..Seliciclib.CYC202.,57.08403,58.01222,54.29944,56.15583,60.33271,83.5376,119.2731,144.3344,166.147,197.2415,218.1259,239.9386,249.2205,254.3256,275.6741,271.9613,279.3869,284.956,264.0716,267.7844,252.9333,240.8667,232.0489,220.9105,189.525922083333,54.29944,284.956,8819.24973,34,4,230.65656,163.82647,17.86775,11,-10.4422,35
Rocuronium.Bromide,17.63572,19.02801,19.02801,18.56391,19.9562,21.3485,24.13308,25.98948,27.38177,29.23816,36.19963,48.73027,64.50959,93.28365,125.7705,163.3624,190.2801,219.5182,233.9053,246.4359,250.6128,255.2538,264.0716,267.3203,111.731536666667,17.63572,267.3203,5078.15774,46,0,249.68458,249.68458,18.79595,29,-0.232049999999999,5
AT13387,63.1173,62.6532,71.00696,71.93516,81.21711,128.091,187.9596,226.9438,228.3361,231.5848,218.59,206.9876,200.4902,183.3186,188.4237,188.4237,200.4902,229.7284,243.1872,292.8457,324.8684,361.9962,407.4778,463.6337,210.97110125,62.6532,463.6337,9599.86186,46,2,400.9805,400.5164,29.9343,11,-8.58579999999999,25
Linezolid,41.7688,40.37651,39.91241,31.09455,41.7688,73.32745,92.81956,98.38873,108.5989,125.7705,145.7267,168.0034,202.8107,232.513,252.4692,270.1049,269.6408,273.3536,262.2152,259.8947,252.9333,227.872,220.9105,215.8055,164.50332125,31.09455,273.3536,7638.58512,34,6,242.25905,174.0367,17.40365,23,-12.53065,41
CYC116,47.80207,54.76354,58.01222,52.90715,74.71974,127.6269,178.2135,212.0927,223.231,220.4464,215.3414,229.7284,243.6513,255.7179,283.5638,298.879,322.0839,332.294,326.2607,325.7966,317.907,309.0891,292.8457,290.0611,220.54313,47.80207,332.294,10248.20707,34,0,284.49193,242.25903,26.45358,9,-8.12169999999998,43
Sildenafil.Citrate,46.40978,47.80207,53.37124,47.33797,50.58666,64.50959,84.92989,103.9579,109.9912,115.5603,133.1961,161.9701,206.0594,228.3361,267.7844,278.4586,273.8177,279.3869,267.7844,261.7511,248.7564,235.2976,225.5515,209.3081,166.746458333333,46.40978,279.3869,7748.11212000001,34,0,232.97712,162.89832,22.04465,23,-8.1217,45
XAV.939,71.47105,77.50433,81.21711,76.11204,79.82481,106.7425,126.6987,135.5166,134.5883,136.9088,149.9036,175.429,201.4184,215.3414,245.0436,269.6408,294.7021,301.6635,297.4867,304.4482,298.4149,292.8457,291.9175,293.3098,194.08956,71.47105,304.4482,8951.51803000001,38,0,232.97715,221.83875,14.8511,27,-3.01665,39
Voriconazole,82.60941,85.39399,86.78629,74.25565,77.04023,103.4938,115.5603,119.7372,122.9859,135.0524,165.6829,214.4132,258.0384,271.4972,289.597,297.4867,293.7739,294.238,293.7739,278.4586,270.1049,263.6075,253.3974,233.4412,195.01774875,74.25565,297.4867,9044.80132999999,30,6,223.23105,150.83179,24.36515,21,-9.9781,45
Fulvestrant,81.21711,76.57613,72.86335,63.1173,70.07877,87.25038,107.6707,121.5936,131.3397,152.6882,164.7547,211.6286,257.5742,264.5357,270.1049,261.7511,263.6075,263.6075,261.287,250.1487,237.154,214.4132,195.8493,176.3571,177.382030833333,63.1173,270.1049,8256.76327,28,6,206.9876,95.13999,23.43695,21,-11.3704,41
Tipifarnib.,68.22237,69.61466,70.54286,69.61466,75.18384,84.92989,97.92463,109.5271,122.5218,130.8756,149.9036,171.7162,202.3466,240.4026,260.8229,277.9946,303.5199,323.9402,337.8632,336.4709,348.5374,354.1066,364.7809,362.9245,205.595312916667,68.22237,364.7809,9437.42814999999,44,0,296.55853,294.70213,19.028,25,-0.928199999999975,45
Cladribine,78.43253,79.36072,71.93516,67.75828,68.22237,76.11204,86.78629,102.1015,105.3502,110.4553,130.4115,157.3291,186.1032,223.6951,227.872,233.4412,251.0769,241.3308,234.3694,239.0103,241.3308,236.6899,231.1207,219.0542,162.472895416667,67.75828,251.0769,7501.21225,32,6,183.31862,140.62167,18.79595,25,-6.03325,45
