,sytoxG_t0,sytoxG_t2,sytoxG_t4,sytoxG_t6,sytoxG_t8,sytoxG_t10,sytoxG_t12,sytoxG_t14,sytoxG_t16,sytoxG_t18,sytoxG_t20,sytoxG_t22,sytoxG_t24,sytoxG_t26,sytoxG_t28,sytoxG_t30,sytoxG_t32,sytoxG_t34,sytoxG_t36,sytoxG_t38,sytoxG_t40,sytoxG_t42,sytoxG_t44,sytoxG_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
JZL184,49.65846,54.76354,51.97895,42.2329,49.65846,58.01222,74.25565,81.21711,91.42726,96.53233,125.7705,160.5778,184.2468,208.844,213.485,231.5848,233.9053,234.8335,236.6899,239.4744,231.5848,235.2976,232.9771,229.7284,152.030699166667,42.2329,239.4744,7018.0867,38,6,197.2415,180.06994,17.40365,21,-4.873025,5
Isovaleramide,52.44305,51.05075,48.73027,53.37124,60.33271,82.1453,103.9579,111.8476,112.3117,127.6269,172.6444,225.5515,261.287,287.2765,302.5917,309.5532,328.1171,324.8684,313.266,312.3378,297.4867,289.1329,288.2047,287.2765,200.142159166667,48.73027,328.1171,9267.10408999999,32,4,279.38683,234.83345,26.45355,21,-7.42555000000002,39
NXY.059.,55.69173,51.51485,46.40978,48.73027,57.54812,81.21711,96.99644,108.5989,116.0244,127.1628,158.7214,187.9596,222.7669,253.8615,253.8615,264.0716,261.7511,263.1434,273.3536,274.2818,264.9998,249.2205,239.4744,239.4744,174.8681625,46.40978,274.2818,8098.50567,38,4,227.87202,183.78267,17.40365,23,-7.88965,41
Troxipide,59.86861,63.58139,60.79681,64.04549,77.50433,103.9579,136.9088,151.2959,156.8651,168.4675,181.4622,222.3028,249.2205,264.0716,288.6688,296.5585,297.9508,294.7021,273.8177,264.0716,239.4744,232.513,216.2696,211.6286,190.666834583333,59.86861,297.9508,8880.51085,32,0,238.08219,151.75999,20.4203,21,-12.2986,39
GDC.0152,82.1453,80.28892,83.0735,81.68121,79.82481,80.75301,93.74775,96.99644,97.46053,121.1295,157.7932,171.2521,199.0979,225.0874,233.4412,230.6566,235.2976,221.3746,192.6006,181.9263,164.7547,158.2573,166.147,151.76,149.439477916667,79.82481,235.2976,6939.18964,32,8,155.47279,69.6147,18.33185,19,-14.387,35
Macitentan,47.80207,44.08929,48.26617,50.12256,59.40451,85.39399,107.6707,127.6269,145.2626,155.9368,187.9596,216.2696,246.4359,273.3536,295.6303,314.6583,316.0506,310.4814,306.7686,295.1662,281.7073,277.5305,271.4972,263.6075,197.02884125,44.08929,316.0506,9145.97481,32,2,271.96131,215.80543,16.0114,19,-6.72945000000001,39
Empty.5.1,65.90189,67.29417,65.43778,61.725,64.50959,80.75301,111.8476,124.3782,142.9421,161.0419,187.9596,226.4797,265.4639,298.4149,313.266,325.7966,335.0786,336.4709,327.1889,321.1557,310.4814,315.1224,318.8352,327.653,214.799918333333,61.725,336.4709,9916.84118999999,34,6,274.7459,261.75111,19.4921,23,-5.33715000000001,39
Amprolium.HCl,97.46053,107.6707,106.2784,96.53233,103.4938,124.8423,141.5498,146.6549,162.4342,174.5008,180.9981,218.59,246.4359,277.0664,302.1277,305.8404,315.5865,316.0506,316.9788,310.9455,316.5147,309.0891,318.3711,303.5199,220.8138525,96.53233,318.3711,10198.08449,44,6,221.83877,206.05937,18.79595,21,-7.4256,45
XL388,78.89662,86.78629,80.75301,80.75301,89.10677,102.1015,122.5218,136.9088,147.5831,150.8318,180.0699,220.9105,251.0769,278.4586,301.1995,330.4376,354.5707,382.8806,398.1959,415.8316,418.1521,411.1906,423.2572,434.8596,244.888916666667,78.89662,434.8596,11240.91178,46,0,355.96298,355.96298,20.4203,21,-3.48075,41
Penicillin.G.Sodium,94.21185,87.71448,85.39399,83.5376,90.03497,97.92463,113.2399,117.8808,115.0962,116.0244,147.119,188.8878,219.9823,234.3694,261.7511,275.6741,285.8842,291.4534,299.8072,285.4201,283.5638,276.6023,273.3536,257.1102,190.918221666667,83.5376,299.8072,8812.75259,36,6,216.2696,162.89835,20.8844,21,-8.12169999999998,45
AZ20,70.54286,75.64793,76.11204,72.39925,74.25565,89.10677,113.704,125.3064,130.4115,154.5446,202.8107,263.1434,301.6635,329.5094,353.1784,381.4884,393.5549,413.047,424.6494,440.4288,458.9927,464.0978,488.2309,484.054,265.8700125,70.54286,488.2309,12207.16374,44,0,417.68804,413.51114,30.16635,21,-2.08845000000002,45
Teriflunomide,64.97369,66.83008,63.58139,62.1891,66.36598,80.28892,102.5656,110.4553,118.3449,135.0524,164.7547,194.457,248.2923,275.6741,289.597,297.0226,315.1224,310.0173,303.0558,302.1277,298.4149,278.4586,257.5742,258.5025,194.3216025,62.1891,315.1224,9003.96073,32,6,252.9333,193.52881,26.91765,23,-10.4422,43
T0901317,59.86861,66.83008,64.97369,59.86861,61.725,74.25565,83.0735,91.42726,94.21185,111.3835,131.8038,171.2521,202.8107,226.9438,239.4744,254.7897,268.7126,266.8562,258.9666,244.5795,235.7617,243.1872,252.9333,249.2205,167.287910416667,59.86861,268.7126,7720.73059,32,0,208.84399,189.35189,19.72415,21,-7.19355000000002,37
Climbazole,68.22237,64.50959,59.40451,57.54812,61.725,81.21711,96.99644,104.422,112.3117,122.9859,145.2626,175.8931,200.0261,215.3414,241.7949,262.6794,255.2538,249.2205,252.9333,226.0156,216.2696,214.4132,205.1312,197.2415,161.950789166667,57.54812,262.6794,7508.17401,30,6,205.13128,129.01913,15.31525,21,-13.45885,37
PD123319,66.36598,70.07877,65.90189,67.29417,77.96842,93.74775,113.704,126.6987,122.0577,135.5166,169.3957,223.6951,262.2152,289.597,312.3378,315.1224,313.7301,312.8019,308.625,296.0944,286.3483,278.9228,271.9613,264.0716,201.8438575,65.90189,315.1224,9358.06758,30,4,249.22051,197.70562,27.1497,21,-6.2653,37
