,confluency_t0,confluency_t2,confluency_t4,confluency_t6,confluency_t8,confluency_t10,confluency_t12,confluency_t14,confluency_t16,confluency_t18,confluency_t20,confluency_t22,confluency_t24,confluency_t26,confluency_t28,confluency_t30,confluency_t32,confluency_t34,confluency_t36,confluency_t38,confluency_t40,confluency_t42,confluency_t44,confluency_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
Doxifluridine,99.0178,98.95771,99.53186,99.50714,99.18655,99.18358,98.78149,98.87592,99.2718,99.21757,99.61993,99.38439,99.7203,99.52668,99.63023,99.79173,99.75733,99.75657,99.7625,99.71312,99.77771,99.65952,99.57904,99.29238,99.43761875,98.78149,99.79173,4574.69552,30,12,1.01024,0.27458,0.287074999999994,3,-0.201045000000001,11
Methylprednisolone,99.21322,99.46479,99.64218,99.5206,99.3752,99.37035,98.81333,98.84587,98.69169,98.83654,98.41636,98.29479,98.40268,97.93918,97.72463,97.8366,98.41083,96.69194,97.51035,97.25892,95.51786,96.2942,95.79533,94.72914,98.0248575,94.72914,99.64218,4511.2508,4,46,4.91304,-4.48408000000001,0.409205,35,-0.870530000000002,39
Terazosin.HCl.,99.59031,99.80341,99.80727,99.80369,99.71326,99.54906,99.62746,99.33949,99.41043,99.60764,99.76051,99.49491,99.58353,99.68128,99.58865,99.49953,99.49747,99.63528,99.64494,99.70994,99.91469,99.4965,99.3149,99.71651,99.6162775,99.3149,99.91469,4582.2745,40,44,0.599789999999999,0.126199999999997,0.200805000000003,45,-0.209094999999998,41
Rifabutin.,99.96289,99.90674,99.9763,99.82101,99.7467,99.809,99.50071,99.30943,99.32423,99.2385,99.73599,99.57864,99.7004,99.5767,99.78917,99.68575,99.78419,99.56488,99.75229,99.74918,99.66912,99.6783,99.7268,99.813,99.68333,99.2385,99.9763,4585.02395,4,18,0.737799999999993,-0.149889999999999,0.248745,19,-0.154145,11
Argatroban,99.12846,99.30157,99.45547,99.15498,98.92793,98.71097,97.75095,97.35556,97.75551,97.77202,98.35336,98.798,98.37332,98.43811,98.88455,98.42008,98.71407,98.35219,99.2912,98.27419,98.49946,98.7142,98.24098,99.20045,98.5778158333333,97.35556,99.45547,4533.40625,4,14,2.09991000000001,0.0719899999999996,0.479735000000005,45,-0.508505,37
Rifapentine.,99.60266,99.76969,99.72631,99.69868,99.74345,99.47723,99.43066,98.95142,99.06815,99.08543,99.01075,99.16639,99.3381,99.25639,99.63651,99.21819,99.25169,99.55356,99.58456,99.62325,99.6144,99.43509,99.79249,99.48621,99.4383858333333,98.95142,99.79249,4573.95365,44,14,0.841070000000002,-0.11645,0.190060000000003,27,-0.239620000000002,13
Duloxetine.HCl,98.71773,98.94334,99.21404,99.1478,99.02257,98.73756,98.35115,97.95119,98.2713,98.46906,98.59464,98.36442,98.61482,98.95757,98.39273,98.68464,98.69528,99.22365,99.09709,98.74261,98.70033,98.74875,98.93373,98.56065,98.7140270833333,97.95119,99.22365,4540.99492,34,14,1.27246000000001,-0.157080000000008,0.264185000000005,33,-0.282420000000002,27
JSH.23,98.32973,99.02838,98.96951,98.66855,98.80062,98.45013,98.08824,97.94609,97.9742,97.85193,98.15504,98.16553,98.83302,99.28436,99.33051,99.07362,99.26226,99.47985,99.48296,99.45222,99.45705,99.39323,99.76955,99.68003,98.8719420833333,97.85193,99.76955,4547.84346,44,18,1.91762,1.3503,0.349325,1,-0.180945000000001,11
Tenovin.1,99.4697,99.60923,99.45671,99.45145,99.45277,99.34958,99.28802,99.13716,99.33908,99.44213,99.42763,99.39261,99.48979,99.42099,99.68991,99.71899,99.59431,99.43536,99.25681,99.4972,99.05883,98.99272,98.90487,98.36227,99.343255,98.36227,99.71899,4570.64427,30,46,1.35672000000001,-1.10743000000001,0.134459999999997,27,-0.271300000000004,45
PHA.793887,98.73949,99.68239,99.07161,99.24707,98.86031,99.49442,99.35503,99.07617,99.25694,99.06636,99.08482,99.01255,98.64147,98.47272,98.20229,96.97018,96.63232,95.29612,95.13517,94.96042,92.93213,94.84747,93.92565,92.77036,97.4472275,92.77036,99.68239,4485.95707,2,46,6.91203,-5.96913000000001,0.95767,41,-1.014145,39
Oxytetracycline..Terramycin.,99.65357,99.75388,99.83193,99.7505,99.6754,99.66414,99.45567,99.43868,99.17834,99.01767,98.09557,97.70127,98.31012,98.53821,98.73313,98.91308,99.15629,99.15049,99.39786,98.96543,99.19048,99.02478,99.48598,99.46341,99.147745,97.70127,99.83193,4559.97478,4,22,2.13066000000001,-0.190160000000006,0.304425000000002,23,-0.46105,19
Cephalexin,98.34645,98.44434,98.11932,98.2309,97.97453,97.67614,97.07732,97.0854,96.60214,96.00774,95.95932,97.15385,97.55256,97.35384,98.26909,98.49834,97.91058,98.06766,98.32697,98.45946,98.19919,99.34688,98.62365,98.67007,97.8314891666667,95.95932,99.34688,4498.89496,42,20,3.38755999999999,0.323619999999991,0.597265,21,-0.361615,43
Simvastatin.,99.72887,99.84879,99.80935,99.83401,99.80631,99.56522,99.53373,99.81978,99.88663,99.79105,99.97562,99.96953,99.85183,99.91434,99.98024,99.93174,99.97803,99.97478,99.97928,100,99.92471,100,100,99.98032,99.8785066666667,99.53373,100,4594.45913,38,12,0.466269999999994,0.251450000000006,0.143024999999994,13,-0.120545,9
Natamycin.,99.69074,99.70062,99.62691,99.49456,99.7467,99.28947,99.31946,99.08094,99.05006,99.13219,99.26157,99.39157,99.28671,99.43039,99.71692,99.48331,99.49615,99.6321,99.61572,99.85514,99.78745,99.66988,99.78952,99.6752,99.5093033333333,99.05006,99.85514,4577.08062,38,16,0.805080000000004,-0.0155400000000014,0.143265,27,-0.228615000000005,9
Aciclovir,98.93829,99.14925,98.90424,98.83986,98.75137,98.20782,98.31627,98.42209,98.38147,98.93422,98.81886,98.79068,98.68029,98.85312,98.71304,99.20183,98.81659,98.89243,98.80906,98.99701,99.12177,98.94997,98.6519,99.35074,98.81217375,98.20782,99.35074,4544.69531,46,10,1.14292,0.412450000000007,0.349420000000002,45,-0.271774999999998,9
Hesperadin,99.32339,99.21212,99.2166,99.32734,99.3837,99.49402,99.68866,99.89002,99.88871,99.87835,100,99.95654,99.95647,100,100,99.97968,100,100,100,100,99.98135,99.95412,100,99.97264,99.7959879166667,99.21212,100,4590.91139,20,2,0.787880000000001,0.649249999999995,0.100680000000004,13,-0.0556350000000023,1
Oxfendazole,99.59756,99.81618,99.56011,99.71735,99.46977,99.22937,98.68609,98.5246,98.57607,98.55271,98.96896,99.41161,99.13634,99.19622,99.19616,99.22047,99.51273,99.44379,99.5861,99.66946,99.43696,99.58457,99.30412,99.16279,99.2733370833333,98.5246,99.81618,4566.35983,2,14,1.29158,-0.43477,0.221325,21,-0.271640000000005,11
Telaprevir..VX.950.,99.04604,98.91999,99.25342,99.31179,99.19277,98.97925,99.03286,99.03411,99.13337,98.93152,99.06815,99.25051,99.30309,99.23906,98.89117,99.05973,99.39149,99.16508,99.35047,99.31151,99.11353,99.20547,98.95874,99.27689,99.1425004166667,98.89117,99.39149,4560.51709,32,28,0.500320000000002,0.23084999999999,0.166715000000003,3,-0.173944999999996,27
Lomustine.,99.10401,99.55347,99.51764,99.35889,99.26958,99.0799,99.22075,98.87861,99.07092,98.96786,99.54893,98.95563,99.27704,99.53524,99.2845,99.32236,99.37609,99.67146,99.23215,99.28236,99.41422,99.53442,99.31995,99.40387,99.2991604166667,98.87861,99.67146,4567.85182,34,14,0.792850000000001,0.299859999999995,0.290534999999998,19,-0.29665,21
Pimobendan,99.00287,99.49222,99.30087,99.14504,99.33327,99.05261,99.18704,98.84483,99.22318,99.3884,99.36305,99.20168,98.85126,99.35766,99.16466,99.5999,99.71871,99.43025,98.97594,99.24616,99.03528,98.70509,99.49594,98.79717,99.2047116666667,98.70509,99.71871,4564.02612,32,42,1.01362,-0.205700000000007,0.395425000000003,43,-0.349385000000005,45
Pefloxacin.Mesylate,99.87531,99.88367,99.8233,99.93438,99.76609,99.79097,99.57331,99.71297,99.82391,99.68907,99.80769,99.95702,99.83041,99.92283,100,99.97575,99.94785,99.8673,99.88657,99.97858,99.93733,99.89259,99.95351,99.94225,99.8655275,99.57331,100,4593.72776,28,12,0.426689999999994,0.0669400000000024,0.0746650000000031,21,-0.108829999999998,11
PD318088,99.4983,99.60659,99.4728,99.52274,99.79884,99.61781,99.86413,99.94798,99.89307,99.93962,99.93693,99.92616,99.97816,99.84001,99.95979,99.9812,99.92987,100,99.95765,99.9566,100,99.92677,99.94577,99.98066,99.85339375,99.4728,100,4593.48394,34,4,0.527199999999993,0.48236,0.13805,7,-0.0905149999999963,9
Ganciclovir,99.46278,99.62463,99.59941,99.24638,99.38467,99.26634,99.15851,99.13087,98.87917,99.27414,99.71111,99.56543,99.0455,99.5313,99.54312,99.49269,99.5528,99.62312,99.75484,99.4603,99.635,99.62698,99.54077,99.4172,99.4386275,98.87917,99.75484,4574.17414,36,16,0.87567,-0.0455800000000011,0.242899999999999,25,-0.259965000000001,23
Candesartan.,99.43696,99.6544,99.60647,99.66504,99.44463,99.14476,98.82073,98.75234,98.56915,99.03486,99.15623,99.07928,99.05055,99.05289,99.6075,99.24188,99.3598,99.32194,99.57303,99.44904,99.21225,99.5912,99.39723,99.44676,99.2778716666667,98.56915,99.66504,4566.45412,6,16,1.09589000000001,0.00979999999999848,0.277304999999998,27,-0.182810000000003,29
Carbidopa,99.63879,99.58194,99.4239,99.55473,99.40787,99.32774,99.16714,99.38929,99.59438,99.65364,99.74773,99.69447,99.65406,99.75837,99.79581,99.80167,99.76327,99.76637,99.77225,99.65102,99.66863,99.62684,99.78952,99.33064,99.6066695833333,99.16714,99.80167,4582.15071,30,12,0.634529999999998,-0.308149999999998,0.111075,13,-0.229439999999997,45
Cefdinir.,99.60073,99.66698,99.73779,99.69592,99.30798,99.13467,98.89658,98.91232,99.13059,98.87613,99.36332,99.5396,99.47419,99.25327,99.82778,99.53704,99.40981,99.52406,99.76762,99.59196,99.51231,99.81791,99.75126,99.73315,99.4609570833333,98.87613,99.82778,4574.79206,28,18,0.951650000000001,0.132419999999996,0.287255000000002,27,-0.19397,7
Vitamin.B12,99.33652,99.54693,99.58533,99.4889,99.42971,99.25571,99.10028,98.81776,98.87592,98.82086,99.16536,99.29424,99.4049,99.56522,99.69157,99.95531,99.88113,99.88326,99.96083,99.74075,99.97264,99.82205,99.88843,99.76382,99.5103095833333,98.81776,99.97264,4577.39452,40,14,1.15487999999999,0.427300000000002,0.172250000000005,19,-0.141259999999996,13
Riluzole,99.80817,99.89851,99.6839,99.78178,99.56992,99.32658,99.1181,99.32194,99.33031,99.48524,99.69952,99.74703,99.93797,99.88947,99.92484,99.94818,99.9732,99.94315,99.93727,99.86135,99.9283,99.95668,99.93403,99.94038,99.7477425,99.1181,99.9732,4588.14309,32,12,0.855100000000007,0.132210000000001,0.107140000000001,19,-0.121669999999995,9
Tropicamide,99.09862,99.32767,99.20493,99.21018,99.10753,98.94714,98.645,98.50117,98.86376,99.10201,99.25798,99.36278,99.6553,99.07906,99.10345,99.27248,99.23048,99.37823,99.25874,99.61745,99.24865,98.88207,99.39682,99.37817,99.1720695833333,98.50117,99.6553,4561.78255,24,14,1.15412999999999,0.27955,0.257375000000003,43,-0.288119999999999,25
Ethinyl.Estradiol,99.34267,99.26937,99.35096,99.2653,99.06968,99.3109,99.20879,99.12376,99.23186,99.76465,99.59058,99.5412,99.75837,99.76376,99.85639,99.75567,99.97928,99.85237,99.92084,99.81335,99.83649,99.68438,99.86467,99.71174,99.5777929166667,99.06968,99.97928,4580.67965,32,8,0.909599999999998,0.369070000000008,0.266395000000003,17,-0.0978099999999955,7
Irsogladine,99.41486,99.6372,99.6848,99.48634,99.0873,98.93152,98.43494,98.42195,98.55783,98.34983,98.7149,98.76961,99.48006,99.29341,99.25598,99.42466,99.42894,99.25549,99.39841,99.48959,99.54575,99.59479,99.62946,99.52551,99.2005470833333,98.34983,99.6848,4562.68589,4,18,1.33497,0.110649999999993,0.355224999999997,23,-0.248290000000004,11
IOWH032,99.20195,99.68411,99.63818,99.64114,99.48067,99.26412,99.02554,98.89555,99.33286,99.26751,99.27973,99.65937,99.48165,99.68086,99.90059,99.82468,99.95992,99.81184,99.89381,99.89478,99.73985,99.63099,99.66822,99.65247,99.5629329166667,98.89555,99.95992,4580.16636,32,14,1.06437,0.450519999999997,0.241080000000004,1,-0.119289999999999,11
Caffeic.Acid.Phenethyl.Ester,98.92104,98.79324,98.86549,99.05041,99.04771,99.09973,98.81251,98.54221,98.24587,98.0497,97.84013,97.31231,97.20407,97.22887,96.64297,96.39188,96.22533,96.65976,96.71853,95.84451,95.56794,94.9915,94.93182,93.74247,97.2804166666667,93.74247,99.09973,4476.79649,10,46,5.35726,-5.17857000000001,0.217215000000003,33,-0.594675000000002,45
Amphotericin.B.,99.27518,99.28955,99.30674,99.25293,98.91156,98.88995,98.2438,98.03934,97.74225,97.1712,96.38213,95.60744,95.18076,93.66013,94.82246,93.01896,91.4863,91.62112,91.2272,92.08843,91.09561,88.44495,87.11428,87.19019,94.7942691666667,87.11428,99.30674,4363.65955,4,44,12.19246,-12.08499,0.581165000000006,27,-1.32532999999999,41
Methoxsalen,99.09109,99.21909,98.82038,98.93614,98.48205,98.4638,97.978,98.21423,97.76449,98.46796,97.77872,97.06889,97.42905,97.49619,98.49931,98.34202,98.52377,99.03666,98.97747,99.68736,99.08694,99.67065,99.32512,99.39835,98.57323875,97.06889,99.68736,4533.02602,38,22,2.61847,0.307259999999999,0.501559999999998,27,-0.354915000000005,21
Ketorolac,99.67899,99.65357,99.53317,99.37057,99.31946,99.09441,99.03438,98.83102,99.29783,99.54858,99.44351,99.52412,99.57359,99.82246,99.53671,99.76665,99.6973,99.70988,99.88195,99.90418,99.87186,99.86095,99.58491,99.78674,99.5552829166667,98.83102,99.90418,4579.18785,38,14,1.07316,0.107749999999996,0.233405000000005,15,-0.142875000000004,27
Primidone.,99.64889,99.79006,99.83352,99.57567,99.1889,99.04204,98.83413,98.4357,98.73534,98.9499,98.98582,99.3296,98.84365,99.34591,99.09019,99.36311,99.35758,99.43813,99.4873,99.60426,99.4871,99.66746,99.51486,99.81667,99.3069079166667,98.4357,99.83352,4567.26602,4,14,1.39782,0.167780000000008,0.251130000000003,25,-0.242975000000001,23
Ezetimibe.,99.52773,99.78226,99.78587,99.88587,99.6339,99.55161,99.38217,99.43081,99.11672,99.41837,99.19789,99.34722,99.20707,99.40436,99.54872,99.51128,99.35531,99.66422,99.46851,99.64218,99.55203,99.49657,99.64024,99.51238,99.5026370833333,99.11672,99.88587,4577.08647,6,16,0.769149999999996,-0.0153500000000122,0.154454999999999,33,-0.157044999999997,15
Methscopolamine,99.41008,99.58575,99.78274,99.53836,99.41776,99.56875,99.48331,99.58727,99.59936,99.56585,99.41174,99.62463,99.47121,99.56432,99.79565,99.81417,99.86991,99.77882,99.69254,99.60964,99.61386,99.74731,99.87731,99.70697,99.6298879166667,99.41008,99.87731,4583.11757,44,0,0.467230000000001,0.296890000000005,0.115665,27,-0.122190000000003,5
X.6..ε..Aminocaproic.acid,99.16756,99.25521,99.18994,99.0752,99.2193,99.36932,99.40531,99.40594,99.35564,99.48489,99.31193,99.68666,99.61524,99.80514,99.93354,99.68963,99.50009,99.75823,99.73433,99.41554,99.54236,99.62001,99.74731,99.82523,99.50473125,99.0752,99.93354,4577.23431,28,6,0.858339999999998,0.65767000000001,0.187365,21,-0.159395000000004,37
Lacidipine.,98.87508,99.06021,98.96496,99.01863,98.24802,97.65501,97.35334,96.57278,96.92487,96.14907,96.16724,96.22057,95.04144,96.80853,95.60088,95.71127,95.51198,96.80143,94.56474,94.43205,94.61475,93.74157,94.39247,94.36705,96.3665808333333,93.74157,99.06021,4432.35375,2,42,5.31864,-4.50802999999999,0.883545000000005,25,-1.118345,35
Mesalamine,99.32561,99.63741,99.51757,99.25605,99.16031,98.98727,98.95239,99.02097,99.36415,99.56432,99.25418,99.33762,99.42335,99.4873,99.58878,99.70601,99.44068,99.50265,99.57614,99.78959,99.58629,99.32326,99.55694,99.4632,99.4092516666667,98.95239,99.78959,4572.85527,38,12,0.83720000000001,0.137590000000003,0.171589999999995,15,-0.155069999999995,19
BMS.265246,99.56454,99.90142,99.91586,99.97498,99.93438,100,99.97933,99.97948,99.94735,99.85334,99.81846,99.86322,99.76804,99.79366,99.95972,99.75574,99.8816,99.72141,99.85313,99.93686,99.85535,99.79449,99.91309,99.86163,99.867795,99.56454,100,4594.22799,10,0,0.435460000000006,0.297090000000011,0.168440000000004,1,-0.101990000000001,29
Torsemide.,99.67354,99.85583,99.76707,99.73344,99.61926,99.34488,99.57705,99.52496,99.66981,99.76576,99.63423,99.56447,99.83344,99.79961,99.42086,99.3812,99.69026,99.895,99.79006,99.58181,99.54092,99.56274,99.75664,99.7612,99.6560016666667,99.34488,99.895,4584.05334,34,10,0.550119999999993,0.0876599999999996,0.154529999999994,31,-0.189374999999998,27
Ginkgolide.A,99.18753,99.38528,99.64211,99.44289,99.50431,99.48227,99.50057,99.45589,99.41478,99.72044,99.69392,99.52399,99.79518,99.59106,99.54976,99.88361,99.73695,99.61731,99.41388,99.44234,99.75126,99.28036,99.27297,99.68176,99.5404341666667,99.18753,99.88361,4579.07155,30,0,0.696080000000009,0.494230000000002,0.204394999999998,45,-0.23545,41
Estradiol,99.84312,99.91551,99.82441,99.65489,99.56364,99.73038,99.50258,99.64198,99.85148,99.85293,99.78379,99.77094,99.90308,99.77308,99.93106,99.89098,99.79752,99.93527,99.55238,99.79235,99.80747,99.8007,99.92671,99.74924,99.7831454166667,99.50258,99.93527,4589.99862,34,12,0.432690000000008,-0.0938799999999986,0.119985,37,-0.191445000000002,35
Candesartan.Cilexetil,99.18807,99.36076,99.12446,99.51231,99.38846,98.69764,98.85976,98.42859,98.80256,99.1,99.18753,99.37431,99.29617,99.19436,99.26329,99.59078,99.60612,99.76935,99.49525,99.76029,99.3109,99.34543,99.48917,99.77764,99.2884666666667,98.42859,99.77764,4566.88069,46,14,1.34905000000001,0.589570000000009,0.193925,5,-0.345409999999994,9
Azathioprine,99.70116,99.71146,99.58056,99.63811,99.62222,99.47971,99.63802,99.5517,99.47129,99.81197,99.75982,99.80106,99.87599,99.81383,99.84954,99.69164,99.86764,99.77792,99.78517,99.58727,99.66235,99.90625,99.68113,99.47487,99.6975283333333,99.47129,99.90625,4586.30533,42,16,0.434960000000004,-0.226290000000006,0.170340000000003,17,-0.112560000000002,43
Pioglitazone.HCl,99.45831,99.55287,99.14698,98.92559,99.18317,98.70731,98.59195,98.2132,97.96301,98.09301,98.12692,98.22301,99.01648,98.50457,98.28657,98.38512,98.67007,98.57633,98.98402,98.44793,98.84767,98.4149,98.3019,99.32781,98.6645291666667,97.96301,99.55287,4537.11128,2,16,1.58986,-0.130499999999998,0.512954999999998,45,-0.268045000000001,37
Meloxicam,99.21556,99.38701,99.37754,99.17405,99.119,98.89346,97.90575,97.78203,97.66039,97.9903,98.13045,98.38091,98.64278,98.44779,98.90376,98.63934,98.34265,98.23932,99.1141,99.13786,99.4516,98.33401,98.79365,98.6003,98.6526504166667,97.66039,99.4516,4537.51136,40,16,1.79120999999999,-0.615259999999992,0.437389999999994,35,-0.558794999999996,41
Bromhexine.HCl,99.07252,99.43592,99.37423,99.52779,99.32172,99.07721,98.8342,99.06021,99.36338,99.30634,99.54555,99.72694,99.80382,99.71001,99.6618,99.79076,99.7985,99.7737,99.73992,99.66912,99.80804,99.89921,99.95668,99.85397,99.5463141666667,98.8342,99.95668,4579.29659,44,12,1.12248000000001,0.781450000000007,0.181699999999999,1,-0.122255000000003,9
Nevirapine.,99.67796,99.67133,99.68003,99.44358,99.67036,99.4315,99.0658,98.97794,99.29832,99.29963,99.48338,99.33782,99.67451,99.76541,99.81363,99.79836,99.76521,99.8932,99.95779,99.78807,99.95295,99.88118,99.92471,99.77515,99.6261591666667,98.97794,99.95779,4582.60253,36,14,0.979849999999999,0.0971899999999977,0.168345000000002,23,-0.182850000000002,11
Mecarbinate,99.38542,99.35821,99.38998,99.40628,99.31876,99.31235,99.37444,99.60046,99.54292,99.68273,99.61137,99.80652,99.71339,99.89963,99.91979,99.82129,99.81438,99.71326,99.80388,99.62961,99.80147,99.85231,99.74123,99.68037,99.6325020833333,99.31235,99.91979,4583.29431,28,10,0.607440000000011,0.29495,0.113009999999996,13,-0.0871350000000035,37
Suprofen.,98.71484,98.775,98.60568,98.97739,98.47362,98.1236,97.99202,97.83772,98.0075,97.97828,98.43314,98.43341,98.90369,98.99825,99.39137,99.35917,99.3933,99.43724,99.72997,99.57,99.79338,99.67326,99.60736,99.69952,98.9128629166667,97.83772,99.79338,4549.40306,40,14,1.95565999999999,0.984680000000012,0.235140000000001,23,-0.251885000000001,7
Trimebutine,99.64867,99.64619,99.58733,99.48724,99.30482,99.14793,99.09151,99.09875,99.15748,99.42266,99.46624,99.86598,99.85928,99.64887,99.81342,99.68453,99.83049,99.91481,99.80797,99.78703,99.90522,100,99.93581,99.97898,99.6288004166667,99.09151,100,4582.55477,42,12,0.90849,0.330310000000011,0.199869999999997,21,-0.105204999999998,25
K02288,99.37631,99.67139,99.81846,99.91675,99.9526,99.92069,99.9296,99.89285,99.79097,99.81149,99.82731,99.93839,99.80589,99.79021,99.84975,99.92767,99.8036,99.76306,99.96089,99.84678,99.78447,99.84651,99.76651,99.92429,99.8298516666667,99.37631,99.96089,4592.53228,36,0,0.584580000000003,0.547979999999995,0.147539999999999,1,-0.0662499999999966,23
Rocilinostat..ACY.1215.,99.87434,99.90701,99.92394,99.93202,100,100,99.97312,99.97264,100,99.98003,99.9613,99.98038,99.92242,99.91198,99.72742,99.786,99.56018,99.52627,99.45539,99.50886,99.33927,99.06947,98.97704,97.51636,99.65856,97.51636,100,4586.22018,8,46,2.48363999999999,-2.35798,0.0339900000000029,7,-0.730339999999998,45
Naratriptan.,99.32912,99.63603,99.48635,99.53912,99.24582,99.12093,99.098,99.05662,98.93614,98.69142,98.58339,97.98311,97.83245,97.38,97.20615,97.78736,96.40887,95.52553,95.21164,94.29224,92.81775,91.58832,90.5723,89.53311,96.8692404166667,89.53311,99.63603,4460.86131,2,46,10.10292,-9.79601000000001,0.290605000000006,29,-0.737245000000001,39
Toremifene.Citrate,99.58885,99.39413,99.30999,98.9756,98.888,98.29582,98.4185,97.6599,97.64333,97.58268,97.50166,97.3177,98.57074,97.54185,98.77431,98.70205,99.1016,99.56261,99.40144,99.75173,99.71146,99.86157,99.85915,99.80464,98.8008045833333,97.3177,99.86157,4543.04513,42,22,2.54387,0.215790000000013,0.626519999999999,23,-0.514445000000002,25
Dyphylline,99.6046,99.54878,99.58505,99.44642,99.2968,99.6611,99.05848,99.10656,99.26619,99.13696,99.38425,99.58408,99.72459,99.7938,99.80982,99.78889,99.87869,99.88015,99.82143,99.83276,99.73695,99.71304,99.91006,99.67395,99.593475,99.05848,99.91006,4581.20825,44,12,0.851579999999998,0.06935,0.18215,9,-0.301310000000001,11
Ramipril.,99.05573,99.30785,99.39108,99.19685,98.90292,98.69038,98.04819,98.21825,98.09474,98.64603,98.47016,98.6106,98.90044,99.09649,99.24028,98.84732,99.23649,99.01075,99.22834,99.06118,99.0473,98.81831,99.21059,99.04592,98.8906745833333,98.04819,99.39108,4548.65073,4,12,1.34289,-0.00981000000000165,0.275644999999997,17,-0.321095,11
CCT129202,99.80458,99.91661,99.87939,99.94451,99.87752,99.93147,99.97636,99.98038,100,100,99.92139,99.97968,99.97153,99.94818,100,100,100,99.98066,99.97898,99.86225,99.98058,100,99.97665,99.91041,99.9508804166667,99.80458,100,4597.92727,16,0,0.195419999999999,0.105829999999997,0.0591650000000001,39,-0.058365000000002,37
Nifedipine,99.59402,99.71996,99.50541,99.72488,99.65302,99.70773,99.68598,99.64232,99.85362,99.81473,99.73605,99.87089,99.65793,99.89051,99.78911,99.69744,99.92215,99.79214,99.72307,99.82661,99.81866,99.8599,99.5262,99.46811,99.7283516666667,99.46811,99.92215,4587.89875,32,46,0.454040000000006,-0.125910000000005,0.116290000000006,25,-0.166849999999997,43
BIX.02188,99.53524,99.56129,99.64792,99.64604,99.6542,99.54099,99.62492,99.47204,99.55785,99.80134,99.59914,99.79208,99.57925,99.74808,99.57233,99.56412,99.82088,99.73944,99.64314,99.80257,99.71071,99.76196,99.70821,99.74939,99.65971375,99.47204,99.82088,4584.38163,32,14,0.348839999999996,0.214150000000004,0.12838,31,-0.106414999999998,23
Carvedilol,99.19373,99.48158,99.51259,99.55032,99.45567,99.34764,99.22758,98.7989,98.75883,98.05274,98.33733,97.96558,98.85941,98.95017,98.78764,98.56078,99.15173,99.5262,99.7257,99.17439,99.43806,99.31275,99.47459,99.83932,99.1034679166667,97.96558,99.83932,4557.93341,46,22,1.87374,0.645589999999999,0.446914999999997,23,-0.353045000000002,17
Saxagliptin,98.89319,99.18828,99.17854,99.31689,99.07058,98.60659,98.4422,98.30991,98.5684,98.59215,98.9544,98.64231,98.74834,99.13985,98.97365,99.02988,98.93278,98.84476,99.20547,98.91129,98.89961,99.09985,98.90217,98.64437,98.8789775,98.30991,99.31689,4548.65336,6,14,1.00698,-0.248820000000009,0.195754999999998,25,-0.231995000000005,9
Chenodeoxycholic.Acid,99.60694,99.82075,99.78592,99.72797,99.63583,99.67375,99.37134,99.5032,99.79906,99.56958,99.72645,99.73461,99.66718,99.60226,99.55411,99.57379,99.69875,99.46989,99.47847,99.53379,99.11258,99.24444,99.13828,99.13302,99.548415,99.11258,99.82075,4579.58396,2,40,0.70817000000001,-0.473919999999993,0.147929999999995,15,-0.210605000000001,39
AZD8055,99.40704,99.67422,99.64971,99.8072,99.92636,99.91441,99.9763,99.95786,99.93403,99.91869,99.98016,99.97733,100,99.95185,100,100,100,100,100,100,100,100,100,100,99.9197983333333,99.40704,100,4596.74328,24,0,0.592960000000005,0.592960000000005,0.133590000000005,1,-0.0240750000000034,25
Metoprolol.Tartrate,99.40801,99.27297,99.14552,99.37631,99.30419,98.78992,98.83109,98.58683,98.87847,99.06685,98.55672,98.9785,98.91302,98.92537,99.32753,99.4342,99.02699,98.58372,98.75718,98.77258,99.29348,99.05924,98.93789,99.00204,99.0095258333333,98.55672,99.4342,4554.04719,30,20,0.877480000000006,-0.405970000000011,0.260449999999999,39,-0.257135000000005,9
Tazarotene.,99.74483,99.70428,99.59363,99.58657,99.69924,99.4324,99.39157,99.5519,99.35365,99.25992,99.19525,99.06484,99.38383,99.05006,98.89056,99.01007,98.72713,98.55512,98.98147,98.6441,98.67615,98.20974,97.08257,97.02275,98.99215125,97.02275,99.74483,4554.85568,0,46,2.72207999999999,-2.72207999999999,0.213175,35,-0.563584999999996,43
Roxatidine.Acetate.HCl,98.11221,98.69349,98.50284,98.67229,98.54829,98.23759,98.42396,98.05231,98.26826,98.57606,98.22108,98.48073,98.7301,98.57773,98.95922,98.63124,99.32858,98.74868,98.63844,99.0665,97.90997,98.19814,98.39162,99.12521,98.5456058333333,97.90997,99.32858,4532.95166,32,40,1.41861,1.01299999999999,0.366794999999996,45,-0.578265000000002,39
H.89.2HCl,99.58194,99.89107,99.92933,99.96574,99.84105,99.83987,99.68349,99.64687,99.49374,99.48296,99.40372,99.48911,99.75118,99.77163,99.77542,99.46706,99.62532,99.58795,99.51447,99.86135,99.38225,99.85549,99.35903,99.66608,99.6610883333333,99.35903,99.96574,4584.48422,6,44,0.606709999999993,0.0841399999999908,0.236620000000002,41,-0.24823,43
