,confluency_t0,confluency_t2,confluency_t4,confluency_t6,confluency_t8,confluency_t10,confluency_t12,confluency_t14,confluency_t16,confluency_t18,confluency_t20,confluency_t22,confluency_t24,confluency_t26,confluency_t28,confluency_t30,confluency_t32,confluency_t34,confluency_t36,confluency_t38,confluency_t40,confluency_t42,confluency_t44,confluency_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
Empty.4.4,97.02917,98.53433,98.73637,97.79426,97.26748,96.77836,96.60304,96.79681,97.1133,97.88426,97.01901,97.83812,98.15787,98.2733,98.00184,98.72657,98.643,98.30646,98.86921,98.82728,98.74951,99.05773,99.06955,98.8965,98.0405554166667,96.60304,99.06955,4510.02099,44,12,2.46651000000001,1.86733000000001,0.752580000000002,1,-0.471055,5
Empty.4.5,98.08887,98.66828,98.322,98.52998,98.25278,97.82292,97.59663,96.74747,95.48387,96.01376,94.01117,94.87897,95.62997,94.03245,93.87854,93.78046,92.13658,91.64449,88.88117,88.99135,89.39426,85.29682,87.09811,84.05061,93.7179795833333,84.05061,98.66828,4316.32354,2,46,14.61767,-14.03826,0.900645000000004,43,-2.04872,41
HER2.Inhibitor.1,99.80044,99.93581,99.79263,99.78426,99.54499,99.50209,99.39102,99.2903,99.16299,99.32256,99.28651,99.25529,99.04758,99.12659,99.23131,98.62566,98.73253,98.07319,97.55892,97.58116,95.73648,95.49167,94.94605,93.97767,98.4249041666667,93.97767,99.93581,4530.61729,2,46,5.95814,-5.82276999999999,0.0797850000000011,17,-0.922339999999998,39
Caspofungin.Acetate,98.67131,99.1648,99.30999,99.26986,98.98983,99.05986,99.04882,98.67304,98.19124,98.24063,97.93089,98.61274,98.8248,99.3439,99.32222,99.59631,99.73142,99.94785,99.84292,99.93541,99.90709,99.86674,99.97346,99.97298,99.22617125,97.93089,99.97346,4564.21193,44,20,2.04257,1.30167,0.340924999999999,21,-0.240900000000003,15
X3.Methyladenine,99.58913,99.77867,99.75118,99.70607,99.61096,99.49056,99.38031,99.56682,99.26012,99.48344,99.53233,99.8302,99.8816,99.94115,99.9428,99.95033,99.9781,100,99.96173,99.97755,100,99.97997,100,99.95938,99.7730166666667,99.26012,100,4589.55629,34,16,0.739879999999999,0.370249999999999,0.148935000000002,21,-0.153350000000003,15
X2.Thiouracil,99.64211,99.52759,99.62111,99.48233,99.17916,98.9021,98.55222,98.46395,98.55811,99.16949,99.15271,99.39876,99.52406,99.50555,99.53083,99.59293,99.69406,99.65551,99.80755,99.77238,99.80831,99.58893,99.75809,99.73702,99.4010358333333,98.46395,99.80831,4571.87059,40,14,1.34436000000001,0.0949099999999987,0.305689999999998,17,-0.174939999999999,11
CPI.613,99.29803,99.26447,99.2711,99.12065,98.90446,98.72935,98.37132,98.42493,98.32338,98.3535,98.98174,99.29438,99.52821,99.56405,99.77205,99.85099,99.77826,99.81169,99.916,99.97976,99.97594,99.95709,99.89079,99.86481,99.3427895833333,98.32338,99.97976,4569.29106,38,16,1.65638,0.566780000000008,0.314120000000003,19,-0.179015,11
Ornidazole,99.61903,99.64743,99.38487,99.2224,98.92537,98.88179,98.67711,98.0296,98.63235,98.82522,99.20127,99.55259,99.76969,99.77129,99.71422,99.93125,99.78732,99.89431,99.92318,99.90992,99.92643,99.88097,99.90922,99.90356,99.45501625,98.0296,99.93125,4574.31819,30,14,1.90165,0.284530000000004,0.301375,15,-0.323754999999998,13
TAK.285,99.28574,99.28741,99.28541,99.08564,98.92786,99.14532,99.22585,99.01905,99.10165,99.38404,99.63837,99.74744,99.7719,99.83352,99.93568,99.94556,99.97382,99.92318,99.98038,100,99.97594,99.89942,100,99.92477,99.5957479166667,98.92786,100,4581.38539,38,8,1.07214,0.639029999999991,0.141194999999996,17,-0.103400000000001,13
Milnacipran.HCl,98.2954,98.46319,98.33865,98.26086,98.31454,97.9269,97.44419,97.28523,97.30387,97.83494,98.83965,98.61259,98.92828,99.25777,98.9184,99.3598,99.59929,99.49975,99.50126,99.45906,99.76147,99.63603,99.73501,99.63873,98.7589525,97.28523,99.76147,4542.49559,40,14,2.47624,1.34332999999999,0.502355000000001,19,-0.241354999999999,11
